Control ID + Baseline  Designation Information,Requirement_Text
IR-09.b,X
IR-09.c,X
IR-09.d,X
IR-09.e,X
IR-09.f,X
IR-09.g,X
IR-09(02), 
IR-09(03), 
IR-09(04), 
MA-01.a,X
MA-01.b,X
MA-01.c,X
MA-02.a,X
MA-02.b,X
MA-02.c,X
MA-02.d,X
MA-02.e,X
MA-02.f,X
MA-03.a,X
MA-03.b,X
MA-03(01),X
MA-03(02), 
MA-03(03).a,X
MA-03(03).b,X
MA-03(03).c,X
MA-03(03).d,X
MA-04.a,X
MA-04.b,X
MA-04.c,X
MA-04.d,X
MA-04.e,X
MA-05.a,X
MA-05.b,X
MA-05.c,X
MA-05(01).a,X
MA-05(01).b,X
MA-06,X
MP-01.a,X
MP-01.b,X
MP-01.c,X
MP-02,X
MP-03.a, 
MP-03.b, 
MP-04.a,X
MP-04.b,X
MP-05.a,X
MP-05.b,X
MP-05.c,X
MP-05.d,X
MP-06.a, 
MP-06.b, 
MP-07.a,X
MP-07.b,X
PE-01.a,X
PE-01.b,X
PE-01.c,X
PE-02.a,X
PE-02.b,X
PE-02.c,X
PE-02.d,X
PE-02(01),X
PE-02(02),X
PE-02(03),X
PE-03.a,X
PE-03.b,X
PE-03.c,X
PE-03.d,X
PE-03.e,X
PE-03.f,X
PE-03.g,X
PE-03(02),X
PE-03(03),X
PE-04,X
PE-05,X
PE-06.a,X
PE-06.b,X
PE-06.c,X
PE-06(01),X
PE-06(02),X
PE-06(03).a,X
PE-06(03).b,X
PE-06(03).c,X
PE-08.a,X
PE-08.b,X
PE-08.c,X
PE-09,X
PE-10.a,X
PE-10.b,X
PE-10.c,X
PE-11,X
PE-12,X
PE-13,X
PE-13(01),X
PE-13(02).a,X
PE-13(02).b,X
PE-14.a,X
PE-14.b,X
PE-15,X
PE-16.a,X
PE-16.b,X
PE-17.a,X
PE-17.b,X
PE-17.c,X
PE-17.d,X
PL-01.a,X
PL-01.b,X
PL-01.c,X
PL-02.a,X
PL-02.b,X
PL-02.c,X
PL-02.d,X
PL-02.e,X
PL-04.a,X
PL-04.b,X
PL-04.c,X
PL-04.d,X
PL-04(01).a,X
PL-04(01).b,X
PL-04(01).c,X
PL-08.a,X
PL-08.b,X
PL-08.c,X
PL-10,X
PL-11,X
PS-01.a,X
PS-01.b,X
PS-01.c,X
PS-02.a,X
PS-02.b,X
PS-02.c,X
PS-03.a,X
PS-03.b,X
PS-03(03).a,X
PS-03(03).b,X
PS-04.a,X
PS-04.b,X
PS-04.c,X
PS-04.d,X
PS-04.e,X
PS-05.a,X
PS-05.b,X
PS-05.c,X
PS-05.d,X
PS-06.a,X
PS-06.b,X
PS-06.c,X
PS-07.a,X
PS-07.b,X
PS-07.c,X
PS-07.d,X
PS-07.e,X
PS-08.a,X
PS-08.b,X
PS-09,X
RA-01.a,X
RA-01.b,X
RA-01.c,X
RA-02.a,X
RA-02.b,X
RA-02.c,X
RA-03.a,X
RA-03.b,X
RA-03.c,X
RA-03.d,X
RA-03.e,X
RA-03.f,X
RA-03(01).a,X
RA-03(01).b,X
RA-05.a, 
RA-05.b, 
RA-05.c, 
RA-05.d, 
RA-05.e, 
RA-05.f, 
RA-05(02),X
RA-05(03),X
RA-05(05),X
RA-05(11),X
RA-07,X
RA-09,X
SA-01.a,X
SA-01.b,X
SA-01.c,X
SA-02.a,X
SA-02.b,X
SA-02.c,X
SA-03.a,X
SA-03.b,X
SA-03.c,X
SA-03.d,X
SA-04.a,X
SA-04.b,X
SA-04.c,X
SA-04.d,X
SA-04.e,X
SA-04.f,X
SA-04.g,X
SA-04.h,X
SA-04.i,X
SA-04(01), 
SA-04(02),X
SA-04(09),X
SA-04(10), 
SA-05.a,X
SA-05.b,X
SA-05.c,X
SA-05.d,X
SA-08,X
SA-09.a, 
SA-09.b, 
SA-09.c, 
SA-09(01).a, 
SA-09(01).b, 
SA-09(02), 
SA-09(05), 
SA-10.a,X
SA-10.b,X
SA-10.c,X
SA-10.d,X
SA-10.e,X
SA-11.a,X
SA-11.b,X
SA-11.c,X
SA-11.d,X
SA-11.e,X
SA-11(01),X
SA-11(02).a,X
SA-11(02).b,X
SA-11(02).c,X
SA-11(02).d,X
SA-15.a,X
SA-15.b,X
SA-15(03).a,X
SA-15(03).b,X
SA-22.a,X
SA-22.b,X
SC-01.a,X
SC-01.b,X
SC-01.c,X
SC-02,X
SC-03,X
SC-04,X
SC-05.a,X
SC-05.b,X
SC-07.a,X
SC-07.b,X
SC-07.c,X
SC-07(03),X
SC-07(04).a,X
SC-07(04).b,X
SC-07(04).c,X
SC-07(04).d,X
SC-07(04).e,X
SC-07(04).f,X
SC-07(04).g,X
SC-07(04).h,X
SC-07(05),X
SC-07(07),X
SC-07(08),X
SC-07(12),X
SC-07(18),X
SC-08,X
SC-08(01),X
SC-08(05),X
SC-10, 
SC-12,X
SC-13.a, 
SC-13.b, 
SC-15.a,X
SC-15.b,X
SC-17.a,X
SC-17.b,X
SC-18.a,X
SC-18.b,X
SC-20.a, 
SC-20.b, 
SC-21, 
SC-22,X
SC-23,X
SC-28,X
SC-28(01),X
SC-39,X
SC-45,X
SC-45(01).a,X
SC-45(01).b,X
SI-01.a,X
SI-01.b,X
SI-01.c,X
SI-02.a,X
SI-02.b,X
SI-02.c,X
SI-02.d,X
SI-02(02),X
SI-02(03).a,X
SI-02(03).b,X
SI-03.a, 
SI-03.b, 
SI-03.c, 
SI-03.d, 
SI-04.a,X
SI-04.b,X
SI-04.c,X
SI-04.d,X
SI-04.e,X
SI-04.f,X
SI-04.g,X
SI-04(01),X
SI-04(02),X
SI-04(04).a,X
SI-04(04).b,X
SI-04(05),X
SI-04(16),X
SI-04(18),X
SI-04(23),X
SI-05.a,X
SI-05.b,X
SI-05.c,X
SI-05.d,X
SI-06.a,X
SI-06.b,X
SI-06.c,X
SI-06.d,X
SI-07.a,X
SI-07.b,X
SI-07(01),X
SI-07(07),X
SI-08.a,X
SI-08.b,X
SI-08(02),X
SI-10,X
SI-11.a,X
SI-11.b,X
SI-12,X
SI-16,X
SR-01.a,X
SR-01.b,X
SR-01.c,X
SR-02.a, 
SR-02.b, 
SR-02.c, 
SR-02(01),X
SR-03.a,X
SR-03.b,X
SR-03.c,X
SR-05,X
SR-06,X
SR-08,X
SR-10,X
SR-11.a,X
SR-11.b,X
SR-11(01),X
SR-11(02),X
SR-12,X
